"Prognose(-interval)";"Perioden";"Bevolking op 1 januari (aantal)";"Demografische druk/Grijze druk (%)";"Levend geboren kinderen (aantal)";"Totaal vruchtbaarheidscijfer (aantal)";"Periode-levensverwachting/Bij geboorte/Totaal (jaar)";"Periode-levensverwachting/Op de 65ste verjaardag/Totaal (jaar)";"Buitenlandse migratie/Immigratie (aantal)";"Buitenlandse migratie/Emigratie (inclusief correcties) (aantal)";"Buitenlandse migratie/Migratiesaldo (inclusief correcties) (aantal)"
"Ondergrens 95%-prognose-interval";"2062";17381837;37,5;137707;1,21;83,36;20,66;189532;175316;-33293
"Ondergrens 95%-prognose-interval";"2063";17393082;37,5;137454;1,2;83,42;20,71;191752;175260;-33538
"Ondergrens 95%-prognose-interval";"2064";17372286;37,6;137044;1,2;83,48;20,75;193175;175709;-33396
"Ondergrens 95%-prognose-interval";"2065";17363399;38;135989;1,19;83,54;20,79;194129;175882;-31682
"Ondergrens 95%-prognose-interval";"2066";17328420;38,3;135263;1,19;83,6;20,83;194871;174902;-31209
"Ondergrens 95%-prognose-interval";"2067";17296374;38,5;133851;1,18;83,66;20,87;195659;175115;-30363
"Ondergrens 95%-prognose-interval";"2068";17331014;38,7;132227;1,18;83,72;20,91;195811;175080;-30069
"Ondergrens 95%-prognose-interval";"2069";17328633;38,9;130778;1,17;83,78;20,95;195803;174740;-29903
"Ondergrens 95%-prognose-interval";"2070";17315044;39;129888;1,17;83,83;20,99;195890;176069;-30635
"Bovengrens 95%-prognose-interval";"2021";;;187895;1,7;82,32;20,27;288950;155819;151001
"Bovengrens 95%-prognose-interval";"2022";17637685;34,3;189984;1,7;83,42;21,1;339577;184363;179426
"Bovengrens 95%-prognose-interval";"2023";17834003;35;197992;1,74;84;21,55;358476;215737;172708
"Bovengrens 95%-prognose-interval";"2024";18026274;35,9;204844;1,77;84,36;21,82;365631;244136;153952
"Bovengrens 95%-prognose-interval";"2025";18196561;36,9;210376;1,8;84,71;22,08;374786;260213;151438
"Bovengrens 95%-prognose-interval";"2026";18369251;37,9;216442;1,83;85,03;22,33;379711;270951;147418
"Bovengrens 95%-prognose-interval";"2027";18536857;39;221098;1,85;85,34;22,56;384184;279558;145125
"Bovengrens 95%-prognose-interval";"2028";18695173;40,1;226204;1,87;85,64;22,8;387937;287434;142729
"Bovengrens 95%-prognose-interval";"2029";18875066;41,3;231116;1,9;85,93;23,02;390727;292571;141117
"Bovengrens 95%-prognose-interval";"2030";19059377;42,4;234844;1,92;86,22;23,25;395217;295386;139659
"Bovengrens 95%-prognose-interval";"2031";19245381;43,6;238420;1,93;86,5;23,46;399134;299270;139906
"Bovengrens 95%-prognose-interval";"2032";19427609;44,7;240903;1,95;86,77;23,68;401791;302879;139083
"Bovengrens 95%-prognose-interval";"2033";19581610;45,7;243640;1,97;87,04;23,9;403551;304619;140570
"Bovengrens 95%-prognose-interval";"2034";19728231;46,7;244353;1,98;87,3;24,11;405393;306737;140723
"Bovengrens 95%-prognose-interval";"2035";19875681;48;245056;1,99;87,56;24,32;408667;309399;141415
"Bovengrens 95%-prognose-interval";"2036";20018872;49,1;244966;2;87,82;24,53;408914;311242;140863
"Bovengrens 95%-prognose-interval";"2037";20140585;50,1;245098;2,01;88,07;24,73;408526;312146;139762
"Bovengrens 95%-prognose-interval";"2038";20270954;50,9;245480;2,02;88,32;24,93;408000;313550;138604
"Bovengrens 95%-prognose-interval";"2039";20405800;51,4;245195;2,03;88,56;25,13;408235;314900;137213
"Bovengrens 95%-prognose-interval";"2040";20542046;51,7;244795;2,04;88,8;25,33;410680;316388;138078
"Bovengrens 95%-prognose-interval";"2041";20663014;51,9;244094;2,05;89,04;25,52;409490;317218;139011
"Bovengrens 95%-prognose-interval";"2042";20794051;52,1;243546;2,05;89,27;25,72;410607;318368;139430
"Bovengrens 95%-prognose-interval";"2043";20957390;52,1;244247;2,06;89,5;25,91;409463;320365;139777
"Bovengrens 95%-prognose-interval";"2044";21091257;52,1;243965;2,07;89,72;26,09;410628;321425;140763
"Bovengrens 95%-prognose-interval";"2045";21216188;52,2;244025;2,08;89,95;26,28;409409;322167;138953
"Bovengrens 95%-prognose-interval";"2046";21342240;52,4;244467;2,08;90,17;26,47;410246;322475;137433
"Bovengrens 95%-prognose-interval";"2047";21462205;52,4;245909;2,09;90,38;26,65;410024;323254;136849
"Bovengrens 95%-prognose-interval";"2048";21548127;52,6;247163;2,1;90,6;26,83;409322;322572;134993
"Bovengrens 95%-prognose-interval";"2049";21646891;52,8;247494;2,11;90,81;27,01;407808;323451;133796
"Bovengrens 95%-prognose-interval";"2050";21746217;52,7;247686;2,11;91,02;27,19;406432;324280;133888
"Bovengrens 95%-prognose-interval";"2051";21818444;52,8;249462;2,12;91,22;27,36;406972;327152;134169
"Bovengrens 95%-prognose-interval";"2052";21927125;53,1;252061;2,13;91,43;27,54;406462;327782;134731
"Bovengrens 95%-prognose-interval";"2053";21955477;53,5;255991;2,13;91,63;27,71;406885;328004;136213
"Bovengrens 95%-prognose-interval";"2054";22058504;53,6;259701;2,14;91,83;27,88;406955;326917;136379
"Bovengrens 95%-prognose-interval";"2055";22166672;53,9;264504;2,15;92,02;28,05;408410;326634;137517
"Bovengrens 95%-prognose-interval";"2056";22278129;54,3;269069;2,15;92,22;28,22;409636;325957;138282
"Bovengrens 95%-prognose-interval";"2057";22386957;54,7;273148;2,16;92,41;28,39;411393;327663;138295
"Bovengrens 95%-prognose-interval";"2058";22485505;55,1;276431;2,17;92,6;28,55;412076;330552;137201
"Bovengrens 95%-prognose-interval";"2059";22594612;55,5;279666;2,17;92,79;28,72;412526;331702;137252
"Bovengrens 95%-prognose-interval";"2060";22702090;55,8;283265;2,18;92,97;28,88;411502;332410;134491
"Bovengrens 95%-prognose-interval";"2061";22805785;56,2;288385;2,18;93,16;29,04;409433;332683;133311
"Bovengrens 95%-prognose-interval";"2062";22965862;56,4;293017;2,19;93,34;29,2;408438;332552;132744
"Bovengrens 95%-prognose-interval";"2063";23084541;56,8;298384;2,19;93,52;29,36;409511;332096;134141
"Bovengrens 95%-prognose-interval";"2064";23241856;57,2;302066;2,2;93,7;29,52;410624;332472;133857
"Bovengrens 95%-prognose-interval";"2065";23369117;58;304983;2,21;93,87;29,68;410814;331658;135286
"Bovengrens 95%-prognose-interval";"2066";23481120;58,7;307764;2,21;94,05;29,83;410355;331646;136312
"Bovengrens 95%-prognose-interval";"2067";23684814;59,5;310073;2,22;94,22;29,99;411411;330816;136882
"Bovengrens 95%-prognose-interval";"2068";23834484;60,1;313176;2,22;94,39;30,14;414428;329791;136176
"Bovengrens 95%-prognose-interval";"2069";23963864;60,6;315553;2,23;94,56;30,29;414956;330682;136395
"Bovengrens 95%-prognose-interval";"2070";24091461;61;316592;2,23;94,73;30,45;415666;329942;136044
